Order_ID,Order_Date,Delivery_Date,Product_ID,Category,Supplier,Price,Quantity,Region,City,Marketing_Channel,Return_Status,Return_Date,Return_Reason
ORD100021,2024-06-08,2024-06-16,P1157,Home,Supplier A,1091.88,2,East,Chennai,Email,No,,
ORD100022,2024-01-14,2024-01-23,P1037,Sports,Supplier C,893.51,2,East,Kolkata,Email,No,,
ORD100023,2024-06-26,2024-06-30,P1129,Sports,Supplier D,162.3,4,North,Chennai,Email,No,,
ORD100024,2024-02-22,2024-02-25,P1191,Fashion,Supplier A,1378.94,2,West,Mumbai,Ads,No,,
ORD100025,2024-11-30,2024-12-04,P1187,Electronics,Supplier A,1187.23,3,West,Kolkata,Social Media,No,,
ORD100026,2024-01-22,2024-01-26,P1020,Home,Supplier C,44.3,3,East,Kolkata,Ads,No,,
ORD100027,2024-01-30,2024-02-08,P1160,Fashion,Supplier C,980.54,2,South,Hyderabad,Social Media,No,,
ORD100028,2024-07-09,2024-07-15,P1057,Beauty,Supplier A,1159.16,3,North,Mumbai,Social Media,Yes,2024-07-17,Not as Described
ORD100029,2024-09-16,2024-09-22,P1021,Home,Supplier B,567.91,1,East,Mumbai,Email,No,,
ORD100030,2024-07-23,2024-07-29,P1088,Sports,Supplier A,112.69,4,North,Delhi,Social Media,No,,
ORD100031,2024-02-28,2024-03-02,P1048,Fashion,Supplier B,125.21,1,North,Bangalore,Ads,Yes,2024-03-09,Damaged
ORD100032,2024-09-20,2024-09-24,P1058,Sports,Supplier C,165.33,4,West,Kolkata,Ads,No,,
ORD100033,2024-01-12,2024-01-14,P1169,Sports,Supplier B,1262.26,2,East,Kolkata,Email,Yes,2024-01-27,No Longer Needed
ORD100034,2024-04-28,2024-05-03,P1187,Sports,Supplier D,1366.92,1,West,Mumbai,Organic,No,,
ORD100035,2024-10-16,2024-10-22,P1014,Electronics,Supplier C,192.99,2,East,Mumbai,Ads,No,,
ORD100036,2024-12-03,2024-12-09,P1189,Sports,Supplier A,361.5,2,North,Bangalore,Social Media,No,,
ORD100037,2024-09-04,2024-09-12,P1189,Beauty,Supplier A,256.63,4,West,Mumbai,Ads,No,,
ORD100038,2024-12-19,2024-12-23,P1174,Beauty,Supplier C,287.62,4,North,Chennai,Ads,Yes,2024-12-24,Size Issue
ORD100039,2024-05-06,2024-05-10,P1189,Home,Supplier C,1257.86,4,East,Chennai,Ads,Yes,2024-05-17,Damaged
ORD100040,2024-03-15,2024-03-18,P1050,Sports,Supplier D,504.9,1,South,Hyderabad,Organic,No,,
ORD100041,2024-12-26,2024-12-29,P1107,Sports,Supplier C,474.05,3,West,Chennai,Social Media,No,,
ORD100042,2024-07-22,2024-07-28,P1054,Fashion,Supplier A,348.82,4,West,Chennai,Email,No,,
ORD100043,2024-02-18,2024-02-22,P1063,Electronics,Supplier D,915.76,4,North,Bangalore,Ads,No,,
ORD100044,2024-03-19,2024-03-21,P1130,Home,Supplier A,575.17,1,North,Kolkata,Social Media,No,,
ORD100045,2024-08-28,2024-09-02,P1050,Sports,Supplier B,1118.93,4,South,Chennai,Social Media,No,,
ORD100046,2024-12-14,2024-12-23,P1134,Fashion,Supplier C,316.31,1,West,Hyderabad,Email,No,,
ORD100047,2024-06-02,2024-06-06,P1020,Electronics,Supplier B,1183.81,2,East,Mumbai,Ads,No,,
ORD100048,2024-09-30,2024-10-08,P1072,Home,Supplier A,909.55,4,East,Chennai,Organic,No,,
ORD100049,2024-04-05,2024-04-14,P1166,Home,Supplier B,180.26,4,West,Hyderabad,Social Media,No,,
ORD100050,2024-08-01,2024-08-05,P1017,Sports,Supplier B,627.61,2,West,Bangalore,Email,Yes,2024-08-19,Damaged
ORD100051,2024-10-20,2024-10-27,P1131,Home,Supplier A,1296.64,2,West,Mumbai,Organic,No,,
ORD100052,2024-07-27,2024-07-30,P1088,Fashion,Supplier A,1385.21,2,South,Hyderabad,Social Media,Yes,2024-08-11,Damaged
ORD100053,2024-12-08,2024-12-16,P1059,Home,Supplier C,703.89,4,East,Chennai,Ads,No,,
ORD100054,2024-03-28,2024-04-02,P1013,Beauty,Supplier B,726.45,3,East,Kolkata,Social Media,No,,
ORD100055,2024-11-01,2024-11-07,P1008,Fashion,Supplier D,1378.5,3,North,Mumbai,Organic,No,,
ORD100056,2024-09-20,2024-09-28,P1089,Electronics,Supplier D,884.73,3,North,Mumbai,Organic,No,,
ORD100057,2024-11-20,2024-11-24,P1052,Electronics,Supplier A,58.94,4,West,Kolkata,Ads,No,,
ORD100058,2024-11-15,2024-11-21,P1129,Sports,Supplier A,1370.0,2,North,Mumbai,Ads,No,,
ORD100059,2024-06-05,2024-06-09,P1083,Sports,Supplier B,379.86,4,South,Chennai,Email,No,,
ORD100060,2024-06-04,2024-06-10,P1091,Beauty,Supplier A,870.67,2,East,Mumbai,Ads,No,,
ORD100061,2024-05-18,2024-05-23,P1110,Electronics,Supplier D,256.61,4,East,Chennai,Email,No,,
ORD100062,2024-04-30,2024-05-03,P1187,Electronics,Supplier C,60.48,4,North,Kolkata,Organic,No,,
ORD100063,2024-03-05,2024-03-10,P1198,Electronics,Supplier C,474.1,2,West,Delhi,Organic,No,,
ORD100064,2024-04-16,2024-04-23,P1171,Electronics,Supplier B,1172.94,3,North,Kolkata,Social Media,No,,
ORD100065,2024-05-26,2024-05-28,P1007,Home,Supplier C,423.6,2,West,Chennai,Social Media,No,,
ORD100066,2024-05-16,2024-05-19,P1174,Fashion,Supplier A,337.94,1,South,Bangalore,Email,No,,
ORD100067,2024-06-10,2024-06-15,P1034,Fashion,Supplier A,326.89,1,East,Kolkata,Ads,No,,
ORD100068,2024-04-09,2024-04-16,P1080,Beauty,Supplier A,777.61,2,South,Bangalore,Ads,No,,
ORD100069,2024-12-03,2024-12-05,P1163,Home,Supplier A,1463.56,4,East,Bangalore,Social Media,No,,
ORD100070,2024-11-02,2024-11-09,P1049,Electronics,Supplier B,693.89,1,South,Chennai,Organic,No,,
ORD100071,2024-05-20,2024-05-24,P1103,Electronics,Supplier C,840.38,1,North,Chennai,Email,No,,
ORD100072,2024-03-23,2024-04-01,P1131,Sports,Supplier D,1292.34,4,South,Delhi,Organic,No,,
ORD100073,2024-06-25,2024-06-29,P1001,Sports,Supplier C,807.25,4,South,Hyderabad,Organic,No,,
ORD100074,2024-07-16,2024-07-22,P1133,Beauty,Supplier A,284.85,3,North,Mumbai,Ads,No,,
ORD100075,2024-04-21,2024-04-24,P1053,Electronics,Supplier D,456.4,4,East,Kolkata,Email,No,,
ORD100076,2024-02-25,2024-02-29,P1105,Beauty,Supplier B,471.81,2,East,Chennai,Organic,Yes,2024-03-14,Wrong Item
ORD100077,2024-06-27,2024-07-05,P1003,Home,Supplier A,602.0,2,North,Kolkata,Social Media,No,,
ORD100078,2024-07-04,2024-07-11,P1053,Fashion,Supplier A,645.92,3,South,Hyderabad,Social Media,No,,
ORD100079,2024-08-05,2024-08-08,P1190,Electronics,Supplier D,1201.68,1,South,Hyderabad,Ads,No,,
ORD100080,2024-11-11,2024-11-20,P1145,Home,Supplier B,530.59,1,South,Bangalore,Social Media,Yes,2024-12-02,Wrong Item
ORD100081,2024-08-04,2024-08-12,P1043,Electronics,Supplier D,707.67,4,West,Mumbai,Social Media,No,,
ORD100082,2024-04-29,2024-05-03,P1161,Sports,Supplier B,941.21,2,East,Delhi,Organic,Yes,2024-05-17,Not as Described
ORD100083,2024-06-23,2024-06-29,P1189,Beauty,Supplier A,572.81,1,South,Kolkata,Social Media,No,,
ORD100084,2024-01-23,2024-01-28,P1013,Sports,Supplier C,1256.48,3,East,Mumbai,Social Media,No,,
ORD100085,2024-07-31,2024-08-06,P1094,Fashion,Supplier A,885.31,3,South,Delhi,Organic,No,,
ORD100086,2024-08-22,2024-08-30,P1047,Sports,Supplier C,448.13,2,North,Kolkata,Ads,No,,
ORD100087,2024-01-13,2024-01-15,P1014,Electronics,Supplier C,1073.95,3,North,Mumbai,Ads,No,,
ORD100088,2024-04-10,2024-04-14,P1199,Sports,Supplier B,796.2,3,East,Chennai,Email,Yes,2024-04-15,Size Issue
ORD100089,2024-01-24,2024-02-01,P1189,Electronics,Supplier D,806.34,2,East,Kolkata,Social Media,No,,
ORD100090,2024-12-29,2024-12-31,P1039,Fashion,Supplier B,726.82,4,North,Mumbai,Organic,No,,
ORD100091,2024-01-11,2024-01-13,P1081,Sports,Supplier A,750.55,4,West,Hyderabad,Email,No,,
ORD100092,2024-09-29,2024-10-06,P1110,Beauty,Supplier D,1150.38,3,North,Delhi,Ads,Yes,2024-10-20,Damaged
ORD100093,2024-10-07,2024-10-10,P1052,Beauty,Supplier C,163.44,4,South,Mumbai,Ads,No,,
ORD100094,2024-04-03,2024-04-10,P1023,Beauty,Supplier C,508.2,4,West,Chennai,Organic,No,,
ORD100095,2024-07-19,2024-07-23,P1153,Sports,Supplier A,122.5,3,North,Kolkata,Email,No,,
ORD100096,2024-01-21,2024-01-23,P1187,Sports,Supplier D,1132.34,4,West,Kolkata,Email,Yes,2024-01-29,Damaged
ORD100097,2024-12-05,2024-12-14,P1123,Sports,Supplier A,415.73,3,West,Kolkata,Organic,No,,
ORD100098,2024-07-29,2024-08-06,P1040,Electronics,Supplier A,1347.17,1,West,Chennai,Organic,No,,
ORD100099,2024-05-19,2024-05-24,P1156,Fashion,Supplier B,794.6,2,East,Delhi,Email,No,,
ORD100100,2024-10-19,2024-10-21,P1014,Beauty,Supplier A,1203.12,2,North,Kolkata,Ads,No,,
ORD100101,2024-10-24,2024-11-01,P1044,Electronics,Supplier D,1468.61,4,East,Delhi,Social Media,No,,
ORD100102,2024-04-10,2024-04-19,P1064,Beauty,Supplier A,1261.29,4,East,Mumbai,Ads,No,,
ORD100103,2024-10-30,2024-11-04,P1088,Electronics,Supplier D,1301.82,4,South,Hyderabad,Organic,Yes,2024-11-07,Damaged
ORD100104,2024-12-24,2024-12-31,P1070,Sports,Supplier C,617.9,2,South,Hyderabad,Email,Yes,2025-01-08,Damaged
ORD100105,2024-01-28,2024-02-04,P1008,Beauty,Supplier A,832.07,1,West,Delhi,Email,No,,
ORD100106,2024-02-10,2024-02-13,P1087,Sports,Supplier D,388.29,1,West,Delhi,Social Media,Yes,2024-02-19,Wrong Item
ORD100107,2024-12-20,2024-12-28,P1128,Beauty,Supplier C,302.21,2,South,Hyderabad,Email,No,,
ORD100108,2024-10-29,2024-10-31,P1135,Home,Supplier D,763.21,1,South,Kolkata,Social Media,No,,
ORD100109,2024-05-25,2024-05-31,P1062,Electronics,Supplier C,896.62,2,North,Bangalore,Ads,No,,
ORD100110,2024-09-12,2024-09-19,P1138,Home,Supplier B,515.51,1,West,Bangalore,Ads,Yes,2024-09-30,No Longer Needed
ORD100111,2024-08-14,2024-08-21,P1080,Electronics,Supplier A,858.47,3,West,Chennai,Email,No,,
ORD100112,2024-08-23,2024-08-26,P1135,Fashion,Supplier A,1332.32,3,South,Hyderabad,Email,Yes,2024-08-28,No Longer Needed
ORD100113,2024-12-26,2024-12-31,P1162,Beauty,Supplier C,839.52,2,North,Hyderabad,Organic,Yes,2025-01-08,Not as Described
ORD100114,2024-01-13,2024-01-16,P1162,Fashion,Supplier B,1084.01,1,South,Chennai,Organic,Yes,2024-01-21,Late Delivery
ORD100115,2024-07-28,2024-08-06,P1032,Fashion,Supplier D,1209.92,4,South,Bangalore,Email,No,,
ORD100116,2024-08-16,2024-08-18,P1122,Electronics,Supplier B,1483.21,1,East,Mumbai,Email,Yes,2024-08-26,Size Issue
ORD100117,2024-04-09,2024-04-17,P1004,Home,Supplier D,908.76,3,West,Kolkata,Ads,Yes,2024-04-25,No Longer Needed
ORD100118,2024-01-31,2024-02-04,P1040,Sports,Supplier D,1212.21,3,North,Kolkata,Email,No,,
ORD100119,2024-01-16,2024-01-20,P1027,Electronics,Supplier A,1444.35,1,East,Mumbai,Organic,No,,
ORD100120,2024-05-16,2024-05-24,P1134,Sports,Supplier C,1417.17,1,West,Mumbai,Ads,No,,
ORD100121,2024-11-24,2024-11-29,P1071,Fashion,Supplier A,220.21,4,South,Bangalore,Social Media,No,,
ORD100122,2024-06-14,2024-06-23,P1011,Sports,Supplier A,615.52,4,North,Chennai,Organic,Yes,2024-06-29,Damaged
ORD100123,2024-11-05,2024-11-12,P1161,Home,Supplier A,492.75,1,West,Mumbai,Organic,No,,
ORD100124,2024-04-09,2024-04-14,P1032,Electronics,Supplier D,139.52,1,South,Chennai,Ads,No,,
ORD100125,2024-04-18,2024-04-25,P1047,Home,Supplier A,953.53,1,East,Delhi,Social Media,No,,
ORD100126,2024-12-08,2024-12-15,P1150,Home,Supplier D,1106.5,1,North,Kolkata,Organic,No,,
ORD100127,2024-06-21,2024-06-25,P1061,Electronics,Supplier C,1273.71,2,West,Bangalore,Email,No,,
ORD100128,2024-08-24,2024-08-29,P1036,Home,Supplier D,192.94,1,East,Kolkata,Organic,No,,
ORD100129,2024-06-10,2024-06-19,P1098,Beauty,Supplier D,1315.9,4,South,Bangalore,Ads,No,,
ORD100130,2024-08-03,2024-08-06,P1171,Beauty,Supplier B,967.96,3,South,Delhi,Ads,Yes,2024-08-08,No Longer Needed
ORD100131,2024-09-20,2024-09-27,P1103,Beauty,Supplier A,1058.88,2,West,Kolkata,Ads,No,,
ORD100132,2024-09-19,2024-09-25,P1034,Sports,Supplier A,1366.83,1,South,Delhi,Organic,No,,
ORD100133,2024-10-18,2024-10-24,P1192,Home,Supplier A,940.89,3,North,Bangalore,Social Media,No,,
ORD100134,2024-09-30,2024-10-03,P1100,Electronics,Supplier A,510.44,2,West,Mumbai,Email,No,,
ORD100135,2024-01-03,2024-01-09,P1174,Electronics,Supplier B,1239.41,3,East,Kolkata,Ads,No,,
ORD100136,2024-01-28,2024-01-30,P1130,Sports,Supplier B,550.96,1,West,Delhi,Social Media,No,,
ORD100137,2024-11-21,2024-11-28,P1000,Electronics,Supplier B,61.0,1,West,Hyderabad,Email,No,,
ORD100138,2024-05-28,2024-05-31,P1004,Beauty,Supplier B,1247.68,4,East,Kolkata,Ads,No,,
ORD100139,2024-01-28,2024-02-02,P1141,Home,Supplier A,524.34,1,South,Kolkata,Email,No,,
ORD100140,2024-11-05,2024-11-12,P1102,Electronics,Supplier D,1163.01,1,East,Kolkata,Email,No,,
ORD100141,2024-03-05,2024-03-08,P1026,Electronics,Supplier C,550.51,2,North,Chennai,Social Media,No,,
ORD100142,2024-12-21,2024-12-25,P1136,Fashion,Supplier B,1292.99,4,South,Delhi,Email,No,,
ORD100143,2024-01-21,2024-01-30,P1014,Fashion,Supplier D,337.07,2,West,Delhi,Ads,No,,
ORD100144,2024-09-08,2024-09-13,P1089,Fashion,Supplier B,1462.08,3,South,Kolkata,Social Media,No,,
ORD100145,2024-08-22,2024-08-31,P1041,Home,Supplier A,1171.84,1,South,Mumbai,Organic,Yes,2024-09-08,Not as Described
ORD100146,2024-08-14,2024-08-18,P1123,Beauty,Supplier A,180.21,3,North,Kolkata,Organic,No,,
ORD100147,2024-01-13,2024-01-20,P1178,Beauty,Supplier D,853.01,2,South,Chennai,Social Media,No,,
ORD100148,2024-11-08,2024-11-13,P1062,Beauty,Supplier D,1478.2,1,South,Bangalore,Organic,No,,
ORD100149,2024-02-18,2024-02-27,P1095,Home,Supplier D,711.89,1,South,Chennai,Email,No,,
ORD100150,2024-04-27,2024-05-03,P1051,Home,Supplier A,281.34,2,West,Mumbai,Ads,No,,
ORD100151,2024-02-23,2024-03-03,P1095,Fashion,Supplier A,732.32,2,South,Kolkata,Email,No,,
ORD100152,2024-05-17,2024-05-20,P1131,Electronics,Supplier C,773.56,2,East,Delhi,Social Media,No,,
ORD100153,2024-02-22,2024-02-29,P1150,Sports,Supplier D,1115.11,2,South,Hyderabad,Ads,No,,
ORD100154,2024-02-13,2024-02-15,P1142,Sports,Supplier C,1051.28,2,North,Kolkata,Social Media,No,,
ORD100155,2024-10-29,2024-11-07,P1170,Electronics,Supplier B,609.8,1,South,Mumbai,Social Media,Yes,2024-11-18,Late Delivery
ORD100156,2024-02-22,2024-02-27,P1028,Fashion,Supplier C,334.85,2,South,Delhi,Social Media,Yes,2024-03-04,No Longer Needed
ORD100157,2024-03-14,2024-03-19,P1035,Electronics,Supplier B,971.13,1,West,Chennai,Email,No,,
ORD100158,2024-02-15,2024-02-23,P1012,Electronics,Supplier B,638.34,1,East,Bangalore,Ads,No,,
ORD100159,2024-01-13,2024-01-22,P1159,Sports,Supplier C,207.09,2,South,Bangalore,Ads,No,,
ORD100160,2024-06-13,2024-06-20,P1070,Fashion,Supplier D,1351.85,2,East,Kolkata,Ads,Yes,2024-06-26,Not as Described
ORD100161,2024-04-11,2024-04-18,P1186,Home,Supplier B,1039.92,4,North,Chennai,Email,No,,
ORD100162,2024-10-06,2024-10-10,P1085,Sports,Supplier D,1027.94,1,West,Hyderabad,Organic,No,,
ORD100163,2024-09-14,2024-09-22,P1027,Home,Supplier A,1235.65,2,East,Hyderabad,Email,No,,
ORD100164,2024-12-02,2024-12-11,P1065,Fashion,Supplier B,799.2,2,West,Mumbai,Email,Yes,2024-12-19,Wrong Item
ORD100165,2024-12-21,2024-12-27,P1169,Electronics,Supplier A,1224.43,2,South,Bangalore,Social Media,No,,
ORD100166,2024-05-17,2024-05-21,P1044,Beauty,Supplier C,752.16,4,North,Chennai,Ads,No,,
ORD100167,2024-06-11,2024-06-19,P1061,Beauty,Supplier D,110.09,4,West,Kolkata,Ads,No,,
ORD100168,2024-04-20,2024-04-29,P1184,Fashion,Supplier C,613.82,3,South,Delhi,Organic,No,,
ORD100169,2024-04-11,2024-04-20,P1133,Beauty,Supplier B,751.22,1,East,Kolkata,Organic,No,,
ORD100170,2024-01-17,2024-01-21,P1027,Home,Supplier A,1083.1,3,North,Kolkata,Social Media,No,,
ORD100171,2024-09-24,2024-09-30,P1027,Beauty,Supplier B,168.8,2,North,Chennai,Ads,No,,
ORD100172,2024-06-30,2024-07-08,P1107,Fashion,Supplier C,218.63,4,East,Bangalore,Organic,Yes,2024-07-09,Late Delivery
ORD100173,2024-01-24,2024-02-02,P1043,Fashion,Supplier D,402.89,4,East,Chennai,Organic,No,,
ORD100174,2024-01-29,2024-02-07,P1083,Home,Supplier D,407.08,3,North,Delhi,Ads,No,,
ORD100175,2024-06-19,2024-06-27,P1029,Beauty,Supplier B,1100.96,4,West,Chennai,Email,No,,
ORD100176,2024-08-15,2024-08-17,P1189,Beauty,Supplier B,383.59,2,North,Mumbai,Organic,No,,
ORD100177,2024-07-06,2024-07-10,P1074,Electronics,Supplier A,953.32,4,East,Kolkata,Ads,No,,
ORD100178,2024-12-11,2024-12-15,P1127,Sports,Supplier C,746.47,3,West,Bangalore,Organic,No,,
ORD100179,2024-08-17,2024-08-22,P1091,Fashion,Supplier B,864.21,2,South,Hyderabad,Social Media,No,,
ORD100180,2024-11-16,2024-11-22,P1189,Electronics,Supplier A,1258.78,3,North,Delhi,Organic,No,,
ORD100181,2024-12-05,2024-12-08,P1128,Fashion,Supplier B,612.53,4,East,Hyderabad,Ads,No,,
ORD100182,2024-04-28,2024-04-30,P1120,Electronics,Supplier D,1158.66,3,South,Kolkata,Organic,No,,
ORD100183,2024-06-04,2024-06-12,P1026,Sports,Supplier A,638.83,3,North,Chennai,Social Media,No,,
ORD100184,2024-09-28,2024-10-06,P1189,Electronics,Supplier A,537.27,1,North,Hyderabad,Social Media,Yes,2024-10-08,Not as Described
ORD100185,2024-06-23,2024-07-01,P1120,Fashion,Supplier B,1438.35,4,West,Mumbai,Organic,No,,
ORD100186,2024-04-13,2024-04-15,P1115,Beauty,Supplier C,284.71,4,East,Chennai,Organic,No,,
ORD100187,2024-04-01,2024-04-10,P1002,Fashion,Supplier D,144.6,3,South,Kolkata,Social Media,Yes,2024-04-22,No Longer Needed
ORD100188,2024-07-04,2024-07-12,P1102,Home,Supplier C,1158.77,1,North,Hyderabad,Social Media,No,,
ORD100189,2024-10-09,2024-10-17,P1197,Home,Supplier A,111.69,4,West,Delhi,Email,No,,
ORD100190,2024-06-29,2024-07-05,P1199,Home,Supplier C,1257.25,2,South,Hyderabad,Email,Yes,2024-07-17,Wrong Item
ORD100191,2024-06-18,2024-06-25,P1154,Home,Supplier A,661.42,3,South,Hyderabad,Social Media,No,,
ORD100192,2024-07-05,2024-07-12,P1136,Sports,Supplier C,1374.12,4,North,Bangalore,Organic,No,,
ORD100193,2024-06-23,2024-06-28,P1061,Beauty,Supplier B,1085.08,2,South,Hyderabad,Ads,No,,
ORD100194,2024-08-09,2024-08-14,P1164,Beauty,Supplier C,919.5,4,North,Kolkata,Organic,No,,
ORD100195,2024-08-20,2024-08-28,P1050,Fashion,Supplier A,1424.47,2,West,Delhi,Organic,Yes,2024-09-06,Not as Described
ORD100196,2024-06-10,2024-06-16,P1171,Electronics,Supplier D,601.01,3,West,Kolkata,Email,Yes,2024-06-27,Not as Described
ORD100197,2024-05-13,2024-05-21,P1151,Fashion,Supplier D,1431.59,4,South,Mumbai,Email,No,,
ORD100198,2024-08-11,2024-08-16,P1058,Fashion,Supplier D,211.15,4,North,Chennai,Email,No,,
ORD100199,2024-06-01,2024-06-03,P1117,Fashion,Supplier A,730.79,1,East,Hyderabad,Social Media,No,,
ORD100200,2024-02-02,2024-02-04,P1159,Fashion,Supplier C,412.17,3,West,Bangalore,Social Media,Yes,2024-02-16,No Longer Needed
ORD100201,2024-02-24,2024-03-04,P1095,Beauty,Supplier D,814.37,2,North,Delhi,Organic,No,,
ORD100202,2024-01-07,2024-01-10,P1179,Electronics,Supplier D,251.4,4,North,Bangalore,Organic,No,,
ORD100203,2024-08-31,2024-09-07,P1112,Fashion,Supplier D,1263.88,4,North,Bangalore,Ads,No,,
ORD100204,2024-11-08,2024-11-14,P1061,Beauty,Supplier B,1271.15,2,South,Bangalore,Organic,No,,
ORD100205,2024-05-05,2024-05-09,P1185,Fashion,Supplier A,1433.3,3,East,Hyderabad,Organic,Yes,2024-05-17,Late Delivery
ORD100206,2024-01-12,2024-01-19,P1051,Home,Supplier A,240.46,1,South,Delhi,Email,No,,
ORD100207,2024-01-16,2024-01-20,P1011,Fashion,Supplier A,938.77,1,West,Delhi,Email,No,,
ORD100208,2024-07-26,2024-07-29,P1038,Fashion,Supplier A,716.61,4,South,Bangalore,Email,No,,
ORD100209,2024-02-12,2024-02-15,P1129,Sports,Supplier A,523.13,2,North,Chennai,Email,No,,
ORD100210,2024-05-14,2024-05-22,P1130,Home,Supplier B,533.79,4,South,Hyderabad,Email,No,,
ORD100211,2024-08-15,2024-08-20,P1112,Electronics,Supplier C,625.06,2,North,Hyderabad,Ads,No,,
ORD100212,2024-04-20,2024-04-23,P1100,Fashion,Supplier B,1060.34,1,East,Kolkata,Ads,No,,
ORD100213,2024-11-02,2024-11-05,P1112,Electronics,Supplier D,901.45,3,South,Hyderabad,Ads,No,,
ORD100214,2024-06-08,2024-06-12,P1183,Home,Supplier B,694.93,2,South,Bangalore,Email,No,,
ORD100215,2024-11-26,2024-12-01,P1080,Fashion,Supplier A,123.14,1,South,Mumbai,Social Media,No,,
ORD100216,2024-09-20,2024-09-23,P1186,Sports,Supplier B,125.87,4,North,Bangalore,Email,No,,
ORD100217,2024-08-12,2024-08-19,P1112,Beauty,Supplier A,13.49,2,North,Delhi,Email,No,,
ORD100218,2024-08-04,2024-08-13,P1001,Sports,Supplier B,1451.87,3,South,Hyderabad,Ads,No,,
ORD100219,2024-02-14,2024-02-17,P1129,Sports,Supplier A,17.83,4,South,Hyderabad,Email,No,,
ORD100220,2024-08-01,2024-08-10,P1053,Beauty,Supplier D,163.61,4,East,Kolkata,Ads,Yes,2024-08-22,Wrong Item
ORD100221,2024-02-28,2024-03-04,P1086,Beauty,Supplier A,478.75,1,East,Mumbai,Email,No,,
ORD100222,2024-05-11,2024-05-19,P1128,Beauty,Supplier B,1213.07,2,West,Hyderabad,Organic,No,,
ORD100223,2024-04-13,2024-04-19,P1146,Fashion,Supplier D,1443.53,4,East,Kolkata,Social Media,No,,
ORD100224,2024-07-13,2024-07-18,P1125,Electronics,Supplier B,1187.12,3,East,Kolkata,Social Media,No,,
ORD100225,2024-06-05,2024-06-09,P1129,Electronics,Supplier D,1038.93,2,East,Mumbai,Ads,No,,
ORD100226,2024-04-07,2024-04-13,P1052,Beauty,Supplier C,786.74,3,North,Bangalore,Organic,No,,
ORD100227,2024-08-13,2024-08-20,P1171,Sports,Supplier C,139.19,4,East,Bangalore,Social Media,No,,
ORD100228,2024-07-23,2024-07-25,P1159,Home,Supplier C,1437.67,3,East,Bangalore,Ads,No,,
ORD100229,2024-03-19,2024-03-28,P1197,Beauty,Supplier B,1140.0,1,South,Chennai,Email,No,,
ORD100230,2024-05-03,2024-05-12,P1159,Sports,Supplier B,962.03,3,North,Bangalore,Email,No,,
ORD100231,2024-08-05,2024-08-14,P1067,Sports,Supplier D,1140.96,2,West,Mumbai,Organic,No,,
ORD100232,2024-01-04,2024-01-09,P1182,Fashion,Supplier D,1088.91,3,West,Chennai,Social Media,No,,
ORD100233,2024-03-30,2024-04-08,P1183,Fashion,Supplier D,959.48,3,East,Bangalore,Email,No,,
